model,arch,language,machine,n_items,acc_counterbalanced,acc_forward_only,acc_per_BR_class_I,acc_per_BR_class_II,acc_per_BR_class_III,acc_per_polarity_pos,acc_per_polarity_neg,runtime_seconds,seed,v2_benchmark_path,tokenizer_collision_n_items
mBERT-base,encoder,JA,B,48,0.5,,0.5,0.5,,0.5,0.5,1.0195517539978027,114,benchmark/items_JA/v2.jsonl,0.0
mBERT-base,encoder,KO,B,48,0.5,,0.7083333333333334,0.2916666666666667,,0.4166666666666667,0.5833333333333334,0.8739278316497803,114,benchmark/items_KO/v2.jsonl,0.0
Qwen3-0.6B-Base,decoder,JA,B,48,0.4375,0.4583333333333333,0.5208333333333334,0.3541666666666667,,0.3958333333333333,0.4791666666666667,13.806175470352173,114,benchmark/items_JA/v2.jsonl,
Qwen3-0.6B-Base,decoder,KO,B,48,0.3541666666666667,0.2916666666666667,0.3333333333333333,0.375,,0.3958333333333333,0.3125,9.792041063308716,114,benchmark/items_KO/v2.jsonl,
Qwen3-0.6B-Instruct,decoder,JA,B,48,0.5,0.5,0.5,0.5,,0.5,0.5,10.592587947845459,114,benchmark/items_JA/v2.jsonl,
Qwen3-0.6B-Instruct,decoder,KO,B,48,0.5,0.5,0.5,0.5,,0.5,0.5,9.892545461654663,114,benchmark/items_KO/v2.jsonl,
XLM-R-Large,encoder,JA,B,48,0.5208333333333334,,0.5416666666666666,0.5,,0.5,0.5416666666666666,1.7916128635406494,114,benchmark/items_JA/v2.jsonl,0.0
XLM-R-Large,encoder,KO,B,48,0.5625,,0.5833333333333334,0.5416666666666666,,0.5,0.625,1.8211309909820557,114,benchmark/items_KO/v2.jsonl,0.0
XLM-R-Large,encoder,EN,A,48,0.7708333333333334,,0.5416666666666666,1.0,,0.7083333333333334,0.8333333333333334,1.8563175201416016,114,benchmark/items_EN/v2.jsonl,0.0
Qwen3-0.6B-Instruct,decoder,ZH,A,48,0.5104166666666666,0.5208333333333334,0.5416666666666666,0.4791666666666667,,0.5,0.5208333333333334,13.409420490264893,114,benchmark/items_ZH/v2.jsonl,
